dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Я бы хотел отложить назначение владельца, до получения совета от моих подданных.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.4|Лично я считаю, что лучше оборонять {s8} вместо {s9}.
dlga_lord_strategy_follow_evaluation:lord_talk|Что-нибудь еще?
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.5|Эта стратегия кажется мне разумной.
dlga_lord_strategy_follow_up:lord_strategy_why_not|Если вы атакуете, то почему не...
dlga_lord_strategy_follow_up:lord_talk_ask_something_again|Понятно...
dlga_lord_strategy_follow_up:lord_talk_replace_marshal|Так вы хотите сказать, что {s4} не должен оставаться маршалом?
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again|Надеюсь, что наше государство решит вопрос с {s4} до того, как мы начнем обсуждать отставку маршала.
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.1|Да. Моя позиция по этому вопросу совершенно ясна. Полагаю, что {s4} должен стать маршалом вместо {s5}.
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.2|Я определюсь с решением и без ваших подсказок, {сир/миледи}.
dlga_lord_talk_replace_marshal:lord_talk_replace_marshal_decision|Хмм...
dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again|Полагаю, что да. А то уже хотелось сказать, что мной поддерживается {s15}. Хорошо, что мы с вами это обсудили, и теперь я знаю, что мы одного мнения по этому поводу.
dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again.1|Не обязательно. {s4} и я можем иметь разное мнение по поводу стратегии, но это не значит, что я стремлюсь к его отставке.
dlga_lord_strategy_why_not:lord_strategy_why_not_select|Да?
dlga_lord_strategy_why_not_select:lord_talk_ask_something_again|Ничего
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason|...продолжение атаки на {s4}?
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.1|...защита {s4}?
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.2|...нападение на {s4}?
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat|{s9}
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.1|Наш маршал, {s11}, полагает, что {s8} {s9}{s10}
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.2|Мы можем пойти туда. {s7} Однако, {s5} {s3} {s4}. {s6} {s8}
dlga_lord_talk_why_not_repeat:lord_strategy_why_not_select|У вас были похожие вопросы? Почему мы не...
dlga_lord_talk_ask_marriage_1:lord_pretalk|Не принимайте мой ответ близко к сердцу, но так как я монарх, у меня есть другие планы на своих детей.
dlga_lord_talk_ask_marriage_1:lord_pretalk.1|В наших обычаях закреплять такие союзы браком. К сожалению, в моей семье нет никого подходящего для брака.
dlga_lord_talk_ask_marriage_1:lord_courtship_pre_permission|{s15}
dlga_lord_talk_ask_marriage_1:lord_marriage_proposal_female_pc_confirm|Вы что, предлагаете нам пожениться?
dlga_lord_courtship_pre_permission:lord_courtship_permission|Могу ли я {s15}предложить себя в качестве жениха?
dlga_lord_courtship_pre_permission:lord_marriage_permission_engagement_date|ЧИТ -- Заключить помолвку
dlga_lord_courtship_pre_permission:lord_pretalk|Не берите в голову.
dlga_lord_marriage_proposal_female_pc_confirm:lord_marriage_proposal_female_pc_reax|Да, таково мое предложение.
dlga_lord_marriage_proposal_female_pc_confirm:lord_pretalk|Нет. Думаю, вы неправильно меня поняли.
dlga_lord_marriage_proposal_female_pc_reax:lord_pretalk|{s14}
dlga_lord_marriage_proposal_female_pc_reax:lord_marriage_proposal_female_pc_next_step|{s14}
dlga_lord_marriage_proposal_female_pc_next_step:lord_marriage_proposal_female_pc_next_step_4|Полагаю, теперь мне следует отправить послание вашей семье, чтобы они разрешили вам выйти замуж. Впрочем, мне кажется, вы вправе принимать собственные решения.
