str_no_string|ŽÁDNÉ ŘETĚZCE!
str_pay_bandits|zaplatili prachsprostým banditům
str_fail_quest|nesplnili úkol, ačkoli jsme dali čestné slovo
str_squander_money|utratili peníze svěřené do opatrování
str_murder_merchant|se zapletli do chladnokrevné vraždy
str_round_up_serfs|chytali uprchlé nevolníky pro nějakého šlechtice
str_battle_fate_1|V žáru bitvy jsme se rozdělili
str_battle_fate_2|{Byl/Byla} jsem {zraněn/zraněna} a považovali mě za {mrtvého/mrtvou}
str_battle_fate_3|Nepřítel mě srazil do bezvědomí
str_battle_fate_4|Zajali mě a drželi mě kvůli výkupnému
str_battle_fate_5|Zajali mě, ale časem se mi podařilo utéct.
str_npc_morale_report|{playername}, {s6} ostatní společníci, {s7} tvé velitelské schopnosti a {s8} všeobecné poměry.
str_happy|těší mě
str_content|vyhovují mi
str_concerned|dělají mi starosti
str_not_happy|vůbec mě netěší
str_miserable|vysloveně mě děsí
str_morale_reg1| Morálka: {reg1}
str_bar_enthusiastic|                   Nadšená
str_bar_content|              Spokojená
str_bar_weary|          Unavující
str_bar_disgruntled|     Otrávená
str_bar_miserable|  Mizerná
str_here_plus_space|tady
str_npc1_intro|Ty tam, poutníku. Nehledáš tady na trhu čistě náhodou stopaře, co?
str_npc2_intro|Dobrý den. Nechceš se napít se mnou? Mám posledních pět denárů a nechce se mi popíjet samotnému.
str_npc3_intro|Přeji ti dobrý den!
str_npc4_intro|Zdravím tě. Jsem Rolf, syn Rolfův, ze starobylého a váženého rodu Rolfů.
str_npc5_intro|Zdravím tě, poutníku. Nedáš si se mnou skleničku?
str_npc6_intro|Jsem ztracen... Dočista ztracen...
str_npc7_intro|Ano? Mimochodem, drž si odstup, jo?
str_npc8_intro|Co chceš?
str_npc9_intro|Ty tam, {dobrý muži/dobrá ženo}, buď tak {hodný/hodná} a dones mi další pití, ano?
str_npc10_intro|Dobrý den, {bratře/sestro}! Připij si se mnou na zmar a zkázu všech urozených pánů a dam!
str_npc11_intro|Ty tam, {hochu/holka}. Pojď se se mnou napít.
str_npc12_intro|Buď vítán, poutníče po stejných cestách. Třeba mi pomůžeš.
str_npc13_intro|Buď vítán, poutníku. Já jsem Nizar. Nepochybně už se k tobě mé jméno doneslo.
str_npc14_intro|Ano? Oč ti jde?
str_npc15_intro|Ah! Pověz, příteli, nepojedeš náhodou teď někdy brzy ven z města?
str_npc16_intro|Dobrý den. Neuniklo mi, že tvůj příjezd do města doprovázela ozbrojená družina. Nehledáš čistě náhodou nějaké posily?
str_npc1_intro_response_1|Možná. Co ten spěch?
str_npc2_intro_response_1|Tvých posledních pět denárů? Co se ti stalo?
str_npc3_intro_response_1|Dobrý den. Copak dělá zjevně dobře vychovaná mladá dáma na místě, jako je tohle?
str_npc4_intro_response_1|Hmm... Rod Rolfů mi nic neříká.
str_npc5_intro_response_1|Určitě. S kým mám to potěšení se napít?
str_npc6_intro_response_1|Proč tak pochmurně, příteli?
str_npc7_intro_response_1|Omlouvám se. Jen mi přišlo, že vypadáš, jako by tě nedávno opustilo štěstí.
str_npc8_intro_response_1|Jen se tak snažím zabít čas, paní, pokud nemáš na práci něco důležitějšího.
str_npc9_intro_response_1|Zřejmě sis mě spletl s hospodským, pane.
str_npc10_intro_response_1|Proč to říkáš, pane?
str_npc11_intro_response_1|Co se oslavuje?
str_npc12_intro_response_1|Jakým způsobem?
str_npc13_intro_response_1|Hmm... Ne, myslím, že ne.
str_npc14_intro_response_1|Strávit trochu času s někým, s kým zřejmě mám společnou cestu, když dovolíš.
str_npc15_intro_response_1|Pojedu. Pročpak tě to zajímá, smím-li se ptát?
str_npc16_intro_response_1|Může být. Pověz mi svůj příběh.
str_npc1_intro_response_2|Ustupte, pane, a ruce pryč od mého měšce.
str_npc2_intro_response_2|Mám lepší věci na práci.
str_npc3_intro_response_2|Běž si hrát někam jinam, holčičko. Mám práci.
str_npc4_intro_response_2|Co? Ne díky, nikdo ti o to nestojí.
str_npc5_intro_response_2|Na takové hlouposti nemám čas.
str_npc6_intro_response_2|Nepochybně. Měj se hezky a přeji ti, aby tě brzy našli.
str_npc7_intro_response_2|Tak jo, nebudu tě rušit.
str_npc8_intro_response_2|Vůbec nic, rozhodně ne od někoho tak nepříjemného. Přeju ti hezký den.
str_npc9_intro_response_2|Dones si ho sám!
str_npc10_intro_response_2|Takové rebelské kecy poslouchat nebudu. Přeju ti hezký den.
str_npc11_intro_response_2|Myslím, že radši ne, paní.
str_npc12_intro_response_2|Promiň, bohužel už mám v současné době na práci něco jiného.
str_npc13_intro_response_2|Ne, a nemůžu říct, že toužím po tvé společnosti.
str_npc14_intro_response_2|Vůbec nic. Omlouvám se.
str_npc15_intro_response_2|Buď tak laskav a hleď si svého, pane.
str_npc16_intro_response_2|Hleď si svého, holka.
str_npc1_backstory_a|Jo, {pane/paní}, to je na dlouhé povídání...
str_npc2_backstory_a|Je to smutný příběh, pane.
str_npc3_backstory_a|To je správná otázka a já vám to hned vysvětlím!
str_npc4_backstory_a|Vskutku? Nu, snad bych vám mohl vaši neznalost prominout. Mé rodné panství leží daleko odtud, na druhé straně hor.
str_npc5_backstory_a|Jsem Baheštur, syn Azabejův, vnuk Badzanův. Kdybys {nebyl/nebyla} jedním ze zdejších barbarů, pravděpodobně by ti můj rodokmen napověděl, že pocházím z ušlechtilého rodu Khergitů z Vysočiny, z kmene Šamirů, z klanu Dulamů, z rodu Ubajnů, z údolí Pantaš a možná bys taky {uhodl/uhodla}, proč jsem tak daleko od domova.
str_npc6_backstory_a|Spáchal jsem nejtěžší ze všech hříchů, {pane/paní}, a ke své hanbě tě musím učinit svým zpovědníkem, pokud mě budeš chtít vyslechnout.
str_npc7_backstory_a|Opustilo mě štěstí? Ano, dalo by se to tak říct.
str_npc8_backstory_a|Eh. No dobře, povím ti to, pokud to opravdu chceš slyšet.
str_npc9_backstory_a|Hluboce se omlouvám. Někdy je v tom šeru a kouři tady poměrně těžké poznat jednoho člověka od druhého. Pořád tomu nemůžu uvěřit, že musím trčet na takovémhle místě.
str_npc10_backstory_a|Je to dlouhý příběh, ale když si dáš něco k pití, rád ti ho povím.
str_npc11_backstory_a|Totiž, podařilo se mi prodat vůz a všechny hrnce, {hochu/holka}. Výjimečně mám jednou peníze na útratu a hodlám je využít co nejlépe.
str_npc12_backstory_a|Povím ti to, ale je to příběh o velké hanebnosti. Varuji tě předem, že jsi-li vznětlivé povahy, rozpálí tě příkoří, které mi bylo učiněno, do bílého žáru spravedlivého rozhořčení, jako bys ty {sám/sama} {utrpěl/utrpěla} křivdu.
str_npc13_backstory_a|Ne? Pak jsi možná {slyšel/slyšela} o mém hřebci, který uhání přes calradské pláně rychle jako paprsek měsíčního světla. Nebo o mém meči, jenž okusil krev nejurozenějších princů této země?
str_npc14_backstory_a|Výborně. Nebude mi to vadit. Jmenuji se Lazalit.
str_npc15_backstory_a|Jsem inženýr, specialista na opevnění. Kdybys {potřeboval/potřebovala} zbořit nějaké hradby, poradil bych si s nimi, pokud by na to bylo dost času. A až bys je {potřeboval/potřebovala} zase postavit, zvládl bych to taky, jen by to trvalo o něco déle a vyšlo by to dráž. A šetřit se na tom beztak nedá, pokud nechceš, aby ti nová stavba spadla na hlavu, jak si tady v okolí nedávno jistí lidé prakticky ověřili.
str_npc16_backstory_a|Inu, {pane/paní}, co se pamatuju, vždycky jsem měla slabost pro hezké věci, a dostala jsem se kvůli tomu do potíží, jak vidíš.
str_npc1_backstory_b|Já a ještě... někdo jsme spolu měli takové malé nedorozumění ve městě {s20} ohledně koně, kterého jsem našel přivázaného venku před hospodou. Vypadal přesně jako moje zlomyslná herka, která se mi před několika dny utrhla a utekla. Samozřejmě jsem koně odvázal, abych se na něj mohl pořádně podívat. Jenže se ukázalo, že kůň patřil jednomu kupci, takovému starému lakomému kozlovi, který si nenechal vysvětlit, že to bylo nedorozumění, a hned utíkal pro stráže.
str_npc2_backstory_b|Před nějakým časem jsem odjel z Geroie s karavanou se zbožím. Doufal jsem, že všechno prodám v Sargotu a slušně na tom vydělám. Ale, co ti budu povídat... přepadla nás banda khergitských nájezdníků, kteří většinu koní odehnali a zboží pobrali. A o dva dny později mi se zbytkem utekli moji vlastní strážci karavany.
str_npc3_backstory_b|Můj otec, známý kupec {s19} z města {s20}, se rozhodl, že mě provdá za jednoho ze svých obchodních partnerů, odpudivého chlápka, kterému už je hodně přes třicet. Celý život jsem mu byla poslušnou dcerou, ale tahle nabídka k sňatku byla absurdní a naprosto příšerná. Tak jsem utekla!
str_npc4_backstory_b|Jako všichni muži z mého rodu jsem odjel do ciziny, abych si vydobyl jméno na bitevním poli, než se vrátím domů a převezmu správu rodových statků. Zdejší úřady však naneštěstí mají pramalé pochopení pro kodex válečníka, prohlásily mne tady za banditu, tam za zbojníka a vypsaly na mou hlavu odměnu. Taková nespravedlnost a urážka mé cti gentlemana dobrodruha! Musíš uznat, že je to neslýchané.
str_npc5_backstory_b|Můj lid je od nepaměti ve při s kmenem Humyanů, z nichž mnozí sídlí hned v sousedním údolí. Tento spor už si vyžádal mnoho lidských životů na obou stranách, včetně dvou mých bratrů. Samotný chán nám nařídil, abychom krevní msty zanechali a ušetřili životy mužů pro války v Calradii. Já však znám svá práva a krev mých bratrů volá po pomstě. Počíhal jsem si na stezce v horách na jednoho Humyana a zabil jsem ho a téže noci jsem pak odjel z vesnice, ani jsem se nestačil s tatíkem rozloučit. Zkusím teď zabít trochu času tady v Calradii, tak jeden dva roky, a pak se vrátím domů, až na mě chánovi vojáci trochu pozapomenou. Humyané samozřejmě nezapomenou, ale taková už je cena cti.
str_npc6_backstory_b|Byl jsem kapitánem jezdectva ve službách pána {s19} ve městě {s20} a můj bratr zde sloužil spolu se mnou. Jenže jsme se oba zamilovali do stejné ženské a navíc to byla kurtizána, svůdnice, která si s námi pohrávala a dráždila naši žárlivost! Tak jsme se s bratrem rozhádali. Pak jsem jednou vypil přes míru, on mě praštil rukavicí a já jsem ho probodl mečem... Svého vlastního bratra! Zkropil jsem paži, v níž držím meč, krví vlastního rodu!
str_npc7_backstory_b|Měla jsem tu smůlu, že byl táta takový slaboch a provdal mě za ožralého budižkničemu, který mě navíc mlátil. Pak jsem měla smůlu, když jsem manželovi utekla - hned mě zajala tlupa banditů. Dál jsem měla tu smůlu, že ten jediný mezi nimi, který byl ke mně hodný, naučil mě lovit a bojovat, vzbudil žárlivost ostatních, takže ho ubodali nožem a mně nezbylo, než jim zase zdrhnout.
str_npc8_backstory_b|Jsem ze starého rodu ze severních zemí, zemanská dcerka a manželka dalšího zemana. Bojovala jsem po boku svého muže a byla jsem mu partnerkou v časech války i míru. Mého muže však sklátil mor dřív, než jsem mu mohla povít děcko. Ustanovil dědičkou svého panství mě, pro případ, že by neměl dědice. Jenže můj švagr, prokleto buď jeho jméno, prohlásil, že je proti našim zvykům, aby byla zemanem ženská. Je to sice nesmysl, ale koupil si za zlato věrnost dostatečného počtu nespolehlivých služebníků mého muže, aby ho mohli dosadit do čela panství místo mě. Tak jsem uprchla, ačkoli mne učili, že to nesmím nikdy udělat, a doufám, že už to nikdy muset udělat nebudu.
str_npc9_backstory_b|Jsem prvorozeným synem svého otce, a tedy i jeho dědicem. Ale když matka umřela, otec se znovu oženil a macecha si přála, aby všechno zdědil její syn. Nemohla proti mně vystoupit otevřeně, ale jednou jsem nakrmil svou porcí bůčku psa, a ten krátce na to pošel. Obvinil jsem z toho macechu, ale můj otec, omámený její čarodějnou mocí, mi nevěřil a přikázal mi, ať mu jdu z očí.
str_npc10_backstory_b|Býval jsem seržantem v posádce pána {s19} ve městě {s20}. Dvacet let jsem poctivě hlídal město, schytal nesčetně tvrdých ran v nejednom lítém boji a oni pak jmenovali velitelem posádky takové nafrněné princátko s vyšpulenými rty, které sotva vypadlo mámě z kolébky. Ten malý spratek mě nachytal, jak stojím na stráži na vrcholku věže a nemám nabitou kuši, což jsem skutečně neměl, protože lilo jako z konve. Byla by se mi uvolnila tětiva. Jenže náš malý princ Nafrň mi řekl, že nenatažená kuše je zanedbání služebních povinností. Prohlásil, že mě nechá zmrskat jezdeckým bičíkem. A v té chvíli se ve mně něco zlomilo. Tak jsem dal, tak říkajíc, výpověď.
str_npc11_backstory_b|Třicet let se táhnu touto zemí v patách armád, prodávám vojákům jídlo a pití, dohlížím na ně při hře v kostky a sháním jim holky a nakonec mi v měšci nezůstal ani jeden prašivý denár.
str_npc12_backstory_b|Původně jsem vystudoval přírodní vědy, ale žárlivost těch tupohlavých doktorů z naší univerzity mě donutila, abych se začal živit jako polní chirurg. Jeden obchodník tady z města si mě najal, abych mu vyléčil syna, který spadl z balkonu a už se neprobral z kómatu. Úspěšně jsem pacientovi provedl trepanaci lebky, abych snížil kraniální otoky, jenže rodina pak nemocnému nepodávala tinkturu z vrbové kůry proti horečce, jak jsem jim doporučil, a kluk jim umřel. Tatík nejen že mi za lékařský zákrok nezaplatil, ale obvinil mě z čarodějnictví - mě, studovaného přírodovědce! Takové je ignorantství a nevděk lidského plemene.
str_npc13_backstory_b|Povoláním jsem válečník. {Mohl/Mohla} jsi však o mně slyšet i jako o básníkovi, který přivede do extáze i srdce těch nejledovějších krásek. Jsem také vyhlášeným svůdcem a musím připustit, že i v této oblasti mám značné zkušenosti. Přiznávám také, že jsem se hluboce zamiloval do Calradie, a tak v posledních několika letech projíždím zdejšími městy, hrady a vesnicemi a využívám svých schopností, jak nejlépe dovedu.
str_npc14_backstory_b|Jsem druhorozeným synem gerojského hraběte, o němž jsi už nepochybně {slyšel/slyšela}. Vzhledem k tomu, že doma panství nezdědím,rozhodl jsem se hledat štěstí zde v Calradii a vycvičit muže v bojovém umění. Naneštěstí mají pánové tady z města {s20} málo pochopení pro disciplinární metody, které jsou zapotřebí, když chceš z té zdejší lůzy vycvičit dobré vojáky. Snažil jsem se jim vysvětlit, že je lepší je teď trochu spráskat, než je potom pracně zahrabávat, ale neposlouchali mě a řekli mi, abych šel nabídnout své služby někomu jinému.
str_npc15_backstory_b|Kastelán {s19} na hradě {s20} chtěl, abych jim k hradbám přistavěl novou věž. Problém byl v tom, že mu zhruba v polovině stavby došly peníze - dřív, než jsem stačil dostavět podpůrné pilíře. Říkal jsem mu, že to tak nemůže nechat, že by mu to brzy spadlo na hlavu - a taky že jo. Nový kastelán se necítil povinen uhradit dluhy svého předchůdce a naznačil mi, že jestli na něj budu v tomto směru tlačit, nechá mi přišít zabití toho zasypaného chudáka.
str_npc16_backstory_b|Vyrostla jsem na hradě Malajurgu jako nevolnice, pracovala jsem s mámou v kuchyni. Většinou jsem si ve spižírně a v černé kuchyni hrávala na velkého myšilova. Byla jsem v tom tak dobrá, že na hradě kočky brzy neměly co na práci, a pán si časem uvědomil, že bych mohla stejně dobře lovit i větší kořist, v několika případech bych radši ani nemluvila o tom, jaká kořist to byla. Asi nemusím říkat, že jsem si při té příležitosti pomohla k několika cetkám, které už pánovi nepřátelé beztak nepotřebovali. A tak jsem se z nevolnictví vykoupila a chtěla bych se nechat najmout jako svobodný žoldák. Poslední práci jsem vykonala {s19} ve městě {s20}.
