dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Przełożę mianowanie władcy, dopóki nie usłyszę opinii poddanych
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|Niedługo potem dane mi było się z tobą spotkać.
dlga_do_member_view_char:member_talk|Coś jeszcze?
dlga_member_kingsupport_1:do_member_trade|Hm. Tak. Dotarła do mnie ta informacja.
dlga_member_kingsupport_1:member_kingsupport_1a|{s21}
dlga_member_kingsupport_1a:member_kingsupport_2|Czy poprzesz moją sprawę?
dlga_member_kingsupport_1a:do_member_trade|Bardzo dobrze. Zachowam to w pamięci.
dlga_member_kingsupport_2:do_member_trade|Tak, {s21}. Co więcej, mam propozycję, która pomoże ci zdobyć tron. Wiem, że {s22} wykonuje dla ciebie podobną misję. Może powinniśmy poczekać kilka tygodni, by nie zwracać na siebie zbyt wiele uwagi.
dlga_member_kingsupport_2:member_kingsupport_2a|{s21}
dlga_member_kingsupport_2a:member_kingsupport_3|{s21}
dlga_member_kingsupport_2a:do_member_trade|{s21}
dlga_member_kingsupport_3:member_kingsupport_3a|{s21}
dlga_member_kingsupport_3a:member_kingsupport_4|Bardzo dobrze. Zrób tak.
dlga_member_kingsupport_3a:do_member_trade|Z drugiej strony, zostań ze mną jeszcze chwilę.
dlga_member_kingsupport_4:close_window|Do zobaczenia niedługo, {s21}.
dlga_member_intelgathering_1:member_intelgathering_3|{s21}
dlga_member_intelgathering_3:member_intelgathering_3|Oczywiście, kilka osób wie, że to możliwe. Jeśli chcesz zdobyć informacje, albo mnie wyciągnąć, to nie przysyłaj posłańca. Przybądź do mnie we własnej osobie, nawet jeśli miałoby to oznaczać prześlizgiwanie się przez bramy.
dlga_member_intelgathering_3:member_intelgathering_4|Doskonały pomysł, zrób tak.
dlga_member_intelgathering_3:do_member_trade|Wstrzymaj się jednak.
dlga_member_intelgathering_4:close_window|Dobrze. Będę w stanie złożyć raport za około pięć dni. Do tego czasu żegnaj, {s21}.
dlga_merchant_quest_4_start:close_window|Już czas, chłopcy! Na nich!
dlga_start:relative_saved_1a|Dziękuję! Dziękuję ci, {panie/pani}, za ratunek z rąk tych bandytów. Czy to mój brat rezydujący w {s9} naprowadził cię na ich ślad?
dlga_relative_saved_1a:close_window|Tak. Powiedział{em/am} twemu bratu, że cię znajdę i uwolnię. Wracaj czym prędzej do rodziny i uważaj na siebie po drodze.
dlga_start:bandit_leader_1a|Aj! Oszczędź! Daruj mi życie! Pozwól mi odejść, a odejdę daleko i zacznę uczciwe życie. Nigdy już o mnie nie usłyszysz!
dlga_bandit_leader_1a:bandit_leader_1b|Daruję ci życie, ale w zamian chcę informacji. Ty lub twoi kompani porwali brata znaczącego kupca z miasta. Powiedz, gdzie go ukrywacie i daj słowo, że nie będziesz kłopotać ludzi w tych stronach, a odejdziesz wolno.
dlga_start:looter_leader_1|Czego chcesz?
dlga_looter_leader_1:looter_leader_2|Szuka{łem/łam} ciebie... Powiedz, gdzie trzymacie więźniów, a pozwolę ci odejść wolno.
dlga_looter_leader_1:close_window|Nic. Odejdziemy w pokoju.
dlga_looter_leader_2:looter_leader_3|Ha! Uwolnimy więźnia tylko wtedy, gdy zapłacisz za niego okup. Masz srebro?
dlga_looter_leader_3:close_window|Nie... Ale mam stal...
dlga_bandit_leader_1b:close_window|Niech ci bóg błogosławi, {panie/pani}. Niech ci błogosławi. Nie skrzywdziliśmy chłoptasia. Trzymamy go w naszej kryjówce, która znajduje się nieopodal miejscowości {s9}. Opiszę miejsce tak dokładnie, że na pewno go nie przeoczysz...
dlga_start:rescue_prisoner_succeed_2|{playername}, ocaliłeś go! Dziękuję ci bardzo za to, że mój {s11} jest cały i zdrów. Proszę, przyjmij tą skromną zapłatę za swój szlachetny uczunek.
dlga_rescue_prisoner_succeed_2:lord_pretalk|Zawsze służę z honorem, {s65}.
dlga_start_up_quest_1_next:close_window|Nic ci nie jest? Cóż... Wygląda na to, że żyjesz. Nie wiem, czy to samo można powiedzieć o twoim przeciwniku. Na ulicach będzie grasował jeden złodziej mniej, choć wielu ich jeszcze pozostało... Może będziesz w stanie mi w czymś dopomóc... Porozmawiajmy u mnie w domu. Tutaj... Rozumiesz... Nie wiadomo, kto i co słyszy.
dlga_start:merchant_quest_2a|Świetna robota. Udało ci się nająć dość ludzi, by pokonać bandytów. A teraz... Podróżni odwiedzający {s9} mówią, że poza miastem czai się niewielka grupka bandytów. Podejrzewam, że to oni porwali mojego brata. Dopadnij ich i pokonaj, a potem zmuś do wyjawienia lokalizacji kryjówki!
dlga_start:merchant_quest_3a|Wiesz już, gdzie przetrzymują mojego brata? Doskonała robota. Uważam się za znawcę ludzi, a ty wyglądasz mi na zdolną osobę. Idź uratować jego niczego wartą skórę.
dlga_start:merchant_quest_3b|Cóż... Mój brat dotarł bezpiecznie do domu. Nie wiem dokładnie, co mam z nim zrobić. Może wyślę go na jakieś calradyjski uniwersytet? Jeśli wtedy ktoś da mu po łbie w ulicznej bójce, nikt nie powie, że to moja wina. Ale, to już nie twój problem. Oto reszta nagrody. Zasłużonej.
dlga_merchant_quest_3b:merchant_quest_4a|Pieniądze bardzo się przydadzą, a ja się cieszę, że udało mi się pomóc.
dlga_merchant_quest_4a:merchant_quest_4b|Dobrze! A teraz... Interesuje cię zarobienie kolejnej sumki?
dlga_merchant_quest_4b:merchant_quest_4b1|Możliwe. Czego ci trzeba?
dlga_merchant_quest_4b1:merchant_quest_4b2|Pamiętasz, jak mówiłem, że bandyci mają w środku sojusznika? Chyba wiem, kogo - kapitana straży. Kilka miesięcy temu ten właśnie kapitan, ujrzawszy, ile my, kupcy, zarabiamy na karawanach, postanowił sfinansować własną za pożyczone pieniądze. Niestety, jak wielu nowych w tym interesie, nie wiedział, że wielkie zyski to również wielkie ryzyko. Utopił większość funduszy w najdroższych dobrach. Oczywiście, jego karawanę napadnięto i złupiono, a on sam stracił wszystko.
dlga_merchant_quest_4b2:merchant_quest_4b3|Najwyraźniej, aby powetować sobie straty, nasz kapitan zszedł na drogę występku. Pewnie w obliczu zadłużenia i finansowej ruiny, uczyniłbym to samo. Każdy dobry kapitan straży płaci kilku złodziejom i rabusiom, którzy dzięki temu donoszą na pozostałych, ale nasz kapitan zatrudnia już całą zgraję. Sprowadza ich do miasta, pozwala na wszelkie wybryki i bierze część z ich zysków. Zapewne doszły cię opowieści o kłusownikach, co stali się królewskimi leśniczymi. Cóż, w Calradii zazwyczaj to leśniczy prędzej zostaje kłusownikiem... Na szczęście, zostało jeszcze kilku odważnych, uczciwych członków straży, którzy powiedzieli mi o jego niecnych występkach.
dlga_merchant_quest_4b3:merchant_quest_4b4|Oto mój plan. {s4} - władca naszego miasta - może się tym za moją sprawą zainteresować. To jednak oznaczałoby śledztwo i proces oparty na moim słowie przeciw słowom kapitana. Świadków przecież można przekupić, a dowody zniszczyć. Jeśli zaś wróg przekroczy w tym czasie nasze granice, ja za swój trud dostanę nóż pod żebra. Mam więc inny pomysł. Zebrałem kilku mieszczan - kilku moich pracowników i kilku, którym bandyci pozabijali krewnych. Razem zaatakujemy dom kapitana. Gdy {s4} ujrzy go przed sobą w łańcuchach, będziemy też mieli kilku schwytanych bandytów, którzy potwierdzą nasze słowa.
dlga_merchant_quest_4b4:merchant_quest_4b5|Potrzebuję teraz tylko kogoś, kto poprowadzi moją małą armię w bój - i trudno mi o kogoś lepszego niż ty. Co ty na to?
dlga_merchant_quest_4b5:merchant_quest_4b6|Skąd mam wiedzieć, że mówisz prawdę?
dlga_merchant_quest_4b6:merchant_quest_4b7|Cóż, faktycznie, mogłem zebrać kilkudziesięciu bandytów, gotowych oddać życie za to, by oszukać zwykłego przybysza, że {s4} to istne piekło... Zresztą, nie przekonam cię, że moje słowa są coś warte, ale wiesz już, że dobrze płacę. Czeka na ciebie ponad kolejne 100 denarów, a może i więcej, jeśli wyświadczysz mi tę przysługę. Co ty na to?
dlga_merchant_quest_4b7:merchant_quest_4b8|Dobrze. Poprowadzę twoich ludzi.
dlga_merchant_quest_4b7:merchant_quest_4_decline|Wybacz, ale to trochę zbyt wiele. Muszę się zastanowić.
dlga_merchant_quest_4b8:merchant_quest_4b9|Doskonale. Od dawna nie stawiałem tak wiele na nową kartę. Szczerze mówiąc, czuję się upojony emocjami. Moi ludzie gotowi są ruszyć na twój rozkaz.
dlga_merchant_quest_4b9:merchant_quest_4_accept|Dobrze. Daj im znać.
dlga_merchant_quest_4b9:merchant_quest_4_decline|Zaczekaj. Muszę odpocząć, nim znów ruszę do walki.
dlga_merchant_quest_4_accept:close_window|Dobrze! A teraz uderz z całą siłą tak, by kapitan wraz ze swymi sługusami nie wiedział, co go powaliło! Niech niebiosa będą z tobą!
dlga_merchant_quest_4_decline:close_window|Dobrze. Moi ludzie będą czekać. Jeśli będziesz się zastanawiać zbyt długo, będę musiał załatwić tę sprawę bez ciebie, ale twój udział bardzo by mnie ucieszył. Póki co, nie musisz się spieszyć.
dlga_merchant_quest_2a:close_window|Dobrze. Zapoluję na bandytów.
dlga_merchant_quest_2a:merchant_quest_2a_whynotcome|Dlaczego sam się do nas nie przyłączysz?
dlga_merchant_quest_2a_whynotcome:merchant_quest_2a|Bo to ja płacę tobie za załatwienie tej sprawy. To krótka odpowiedź. Jeśli mam powiedzieć coś więcej, to dodam, że mam do załatwienia w mieście kilka spraw, a moje szanse na oberwanie po głowię są takie same jak twoje, jeśli cię to interesuje. Rozumiem jednak twoje pytanie. Więc jak będzie?
dlga_merchant_quest_2a:close_window.1|Chwilowo nie mogę zająć się tą sprawą.
dlga_merchant_quest_3a:close_window|Dobrze więc. Idę zaatakować bandytów w ich kryjówce i uwolnić twojego brata.
dlga_merchant_quest_3a:close_window.1|Chwilowo nie mogę zająć się tą sprawą.
dlga_start:merchant_quest_persuasion|Czyń, jak uważasz, {panie/pani}, ale odczuwam zawód. Lepiej rozważ jeszcze raz moje słowa. Jestem bogatym człowiekiem, który wdzięczność potrafi wyrazić w monetach.
dlga_merchant_quest_persuasion:merchant_quest_1_prologue_3|Potrafisz przekonywać. Pomogę ci.
dlga_merchant_quest_persuasion:merchant_quest_2|Potrafisz przekonywać. Pomogę ci.
dlga_merchant_quest_persuasion:merchant_quest_3|Potrafisz przekonywać. Pomogę ci.
dlga_merchant_quest_persuasion:merchant_quest_4b8|Potrafisz przekonywać. Pomogę ci.
dlga_merchant_quest_persuasion:close_window|Niestety, mam gdzie indziej coś ważnego do zrobienia.
dlga_merchant_quest_2:merchant_quest_2a|A teraz idź dorwać tych drani.
dlga_merchant_quest_3:merchant_quest_3a|A teraz ruszaj zaatakować kryjówkę bandytów, odbij mojego brata i pokaż tym łotrom, jaki los czeka tych, którzy nastają na mój dom.
dlga_start:close_window.7|Doskonale. Przedstawiłeś swoje zdanie. Nie mam nic więcej do powiedzenia.
dlga_start:merchant_closing_statement_2|Ach... {playername}. Sprawy nie potoczyły się po mojej myśli. {s5}, niestety, nie potrafił przymknąć oka na moje działania. Jest wdzięczny, że wyzbyłem się nieuczciwego kapitana - wszak strażnik, co wpuszcza bandytów, gotów wpuścić też w granice wrogie armie, jeśli zostanie dobrze opłacony - ale nie pozwoli mi tu cieszyć się wolnością, gdyż moja osoba przypominać mu będzie, że sam nie jest w stanie o wszystko zadbać.
dlga_merchant_closing_statement_2:merchant_closing_statement_3|To nie wydaje się sprawiedliwe...
dlga_merchant_closing_statement_3:merchant_closing_statement_4|Sprawiedliwość? Jesteśmy w Calradii, {mój chłopcze/moja pani}! Władcy robią, co chcą, a my robimy, co możemy. Nie powiesił mnie - dał mi nawet czas na wyprzedanie majątku, a innym kupcom nakazał zaproponować mi dobre ceny. To łaskawość ze strony króla - chociaż on akurat jest słabym władcą, a słaby władca wpierw wzmacnia swój autorytet, a potem broni sprawiedliwości. Pewnie na jego miejscu uczyniłbym to samo.
dlga_merchant_closing_statement_4:close_window|W każdym razie, lepiej, żeby {s5} nie przypominał sobie co chwilę o twoim udziale w tej awanturze. Już cię zauważył, ale uznał, że nie warto cię wieszać. Samo to warte jest już toastu przy szklanicy trunku. Być może nawet znajdzie dla ciebie jakieś zajęcie. Możesz też nająć swój miecz u któregoś z konkurentów. Mam nadzieję, że udało ci się nauczyć co nieco o tym, jak żyć w niespokojnym kraju i myślę, że zarobione przez ciebie pieniądze się nie zmarnują. Powodzenia.
dlga_merchant_quests_last_word:close_window|Przygotowuję się do rychłego opuszczenia miasta. Znajomość z tobą była zaszczytem. Powodzenia.
dlga_member_intel_liaison:member_intel_liaison_results|Co odkryliście?
dlga_start:member_intel_liaison|Witaj, nieznajomy.
dlga_member_intel_liaison:close_window|Nadszedł czas, by cię wyciągnąć. Opuścimy miasto osobno, ale musisz do mnie dołączyć jak najszybciej
dlga_member_intel_liaison:close_window.1|Robisz kawał świetnej roboty. Zostań tu trochę dłużej.
dlga_member_intel_liaison_results:member_intel_liaison|{s11} Widzę, że zbierasz notatki o niektórych lordach. Dołączam do nich to, czego mnie udało się dowiedzieć.
dlga_member_fief_grant_1:member_fief_grant_2|Które lenno masz na myśli?
dlga_member_fief_grant_2:member_fief_grant_3|{s11}
dlga_member_fief_grant_2:do_member_trade|Nieważne. Nie mogę zaoferować żadnego lenna.
dlga_member_fief_grant_3:close_window|{s5}
dlga_start:close_window.8|Cóż, {panie/pani}! Nie kłopocz się, proszę, ze wstawaniem z ziemi, ponieważ znów będę cię musiał powalić. Przyjmuję twoje milczenie za przeprosiny. Życzę miłego dnia.
dlga_start:close_window.9|Doskonale. Cofam moją wypowiedź. Mam nadzieję, że jesteś usatysfakcjonowan{y/a}.
dlga_start:companion_recruit_intro_response|{s5}
dlga_companion_recruit_intro_response:companion_recruit_backstory_a|{s6}
dlga_companion_recruit_intro_response:close_window|{s7}
dlga_companion_recruit_backstory_a:companion_recruit_backstory_b|{s5}
dlga_companion_recruit_backstory_b:companion_recruit_backstory_c|{s5}
dlga_companion_recruit_backstory_c:companion_recruit_backstory_response|{s5}
dlga_companion_recruit_backstory_response:companion_recruit_signup|{s6}
dlga_companion_recruit_backstory_response:close_window|{s7}
dlga_companion_recruit_signup:companion_recruit_signup_b|{s5}
dlga_companion_recruit_signup_b:companion_recruit_signup_response|{s5}
dlga_companion_recruit_signup_response:close_window|Niestety nie mogę przyjąć więcej osób do drużyny.
dlga_companion_recruit_signup_response:companion_recruit_payment|{s6}
dlga_companion_recruit_signup_response:close_window.1|{s7}
dlga_companion_recruit_payment:companion_recruit_signup_confirm|.
dlga_companion_recruit_payment:companion_recruit_payment_response|{s5}
dlga_companion_recruit_payment_response:companion_recruit_signup_confirm|{s6}
dlga_companion_recruit_payment_response:close_window|Przykro mi. Nie stać mnie na to w tej chwili.
dlga_start:companion_recruit_meet_again|Znów się spotykamy.
dlga_companion_recruit_meet_again:companion_recruit_backstory_delayed|A więc... Co się z tobą działo od naszego ostatniego spotkania?
dlga_companion_recruit_meet_again:close_window|Dzień dobry.
dlga_start:companion_recruit_secondchance|Tak?
dlga_companion_recruit_secondchance:companion_recruit_backstory_b|Wybacz, jeśli moje wcześniejsze zachowanie było nieodpowiednie. Opowiedz mi jeszcze raz swoją historię.
dlga_companion_recruit_secondchance:close_window|Nieważne.
dlga_companion_recruit_backstory_delayed:companion_recruit_backstory_delayed_response|{s5}
dlga_companion_recruit_backstory_delayed_response:companion_recruit_signup_b|Być może przydasz się w mojej kompanii.
dlga_companion_recruit_backstory_delayed_response:close_window|Dam ci znać, jeśli o czymś usłyszę.
dlga_companion_recruit_signup_confirm:close_window|Dobrze! Daj mi chwilę na przygotowanie i zaraz będziemy mogli wyruszyć.
dlga_start:companion_rehire|Jeśli chcesz, moja oferta ponownego dołączenia do ciebie jest wciąż aktualna.
dlga_start:companion_rehire.1|Dobrze widzieć cię w dobrej kondycji, {s5}! {s6} i ja nie wiedzieliśmy czy zostałeś pojmany, zabity, czy uciekłeś. Od tamtej pory wszędzie cię szukam. Czy mam zebrać swój sprzęt i dołączyć do twojej kompanii?
dlga_start:companion_prison_break_chains|Przybywam, by cię stąd zabrać.
dlga_companion_prison_break_chains:close_window|Dzięki niech będą niebiosom! W łańcuchach jednak nigdzie nie ucieknę. Musisz jakoś odebrać klucz strażnikowi.
dlga_start:companion_rehire.2|{s5}
dlga_start:companion_was_dismissed|Dobrze cię widzieć, {s21}! Prawdę mówiąc, miałem nadzieję na ciebie wpaść.
dlga_companion_was_dismissed:companion_rehire|{s5}. Czy mam ponownie do ciebie dołączyć?
dlga_companion_rehire:companion_recruit_signup_confirm|Witaj z powrotem, przyjacielu!
dlga_companion_rehire:companion_rehire_refused|Przykro mi, ale nie mogę teraz zabrać nikogo więcej.
dlga_companion_rehire_refused:close_window|No cóż... Poszukaj mnie, kiedy zmienisz zdanie.
dlga_start:companion_rehire.3|Zatem... Chcesz mnie znów w swym oddziale?
dlga_minister_issues:minister_pretalk|Jest pewna sprawa, która wymaga twojej uwagi. Spór, który prowadzą {s11} i {s12} rozrósł się do takich rozmiarów, że staje się nieznośny. Jeśli zareagujesz, ryzykujesz obrazę jednego z lordów. Jeśli jednak nie zrobisz nic, ryzykujesz oskarżenie o słabość. Takie jest właśnie brzemię władzy królewskiej, {panie/pani}.
