str_no_string|NO STRING!
str_battle_fate_3|Wróg pozbawił mnie przytomności
str_battle_fate_4|Pojmano mnie dla okupu
str_battle_fate_5|Schwytano mnie, ale później udało mi się zbiec
str_npc_morale_report|Twój dobór towarzyszy oceniam {s6}, styl przywództwa - {s7}, a ogólny stan bieżących spraw oceniam {s8}.
str_happy|bardzo wysoko
str_content|wysoko
str_concerned|zadowalająco
str_not_happy|niezbyt pozytywnie
str_miserable|tragicznie
str_morale_reg1| Morale: {reg1}
str_bar_enthusiastic|                   Entuzjazm
str_bar_content|              Zadowolenie
str_bar_weary|          Zmęczenie
str_bar_disgruntled|     Narzekania
str_bar_miserable|  Beznadzieja
str_here_plus_space|tutaj 
str_npc1_intro|Witaj, {wędrowcze/podróżniczko}. Nie szukasz przypadkiem tropiciela, co?
str_npc2_intro|Witam. Czy mogę liczyć na to, że napijesz się ze mną? Zostało mi pięć ostatnich denarów, a nie lubię pić samotnie.
str_npc3_intro|Dzień dobry, {panie/pani}!
str_npc4_intro|Pozdrawiam. Jestem Rolf, syn Rolfa, z najbardziej znanej i wpływowej rodziny Rolfów.
str_npc5_intro|Pozdrawiam, {wędrowcze/podróżniczko}. Napijesz się ze mną?
str_npc6_intro|Jestem przeklęty... Przeklęty...
str_npc7_intro|Tak? Tak przy okazji, trzymaj dystans.
str_npc8_intro|Czego chcesz?
str_npc9_intro|Hej, {dobry człowieku/dobra kobieto}, czy mogę cię prosić o jeszcze jeden dzban wina, hm?
str_npc10_intro|Pozdrawiam serdecznie, {Bracie/Siostro}! Wypijmy za zagładę i upadek wszystkich wysoko urodzonych panów i pań!
str_npc11_intro|Witaj, {chłopcze/dziewko}. Wypijmy razem.
str_npc12_intro|Pozdrawiam, {wędrowcze/podróżniczko}. Być może jesteś w stanie mi pomóc.
str_npc13_intro|Pozdrawiam, {wędrowcze/podróżniczko}. Jestem Nizar. Bez wątpienia moje imię obiło ci się o uszy.
str_npc14_intro|Tak? O co chodzi?
str_npc15_intro|Och! Powiedz {przyjacielu/przyjaciółko}, czy przypadkiem nie opuszczasz miasta w najbliższym czasie?
str_npc16_intro|Witam. Wyglądasz na osobę, która już niedługo weźmie udział w kilku walkach. Szukasz może pomocy?
str_npc1_intro_response_1|Może. Skąd ten pośpiech?
str_npc2_intro_response_1|Ostatnie pięć denarów? Co się stało?
str_npc3_intro_response_1|Witam. Co taka dobrze wychowana damulka jak ty robi w takim miejscu?
str_npc4_intro_response_1|Hmm... Nigdy nie obiła mi się o uszy rodzina Rolfów.
str_npc5_intro_response_1|Oczywiście. Z kim mam przyjemność pić?
str_npc6_intro_response_1|Co się stało, że taki z ciebie ponurak?
str_npc7_intro_response_1|Przepraszam. Chciałam tylko powiedzieć, że wyglądasz mi na osobę nieco strapioną.
str_npc8_intro_response_1|Tylko dla zabicia czasu, pani, o ile nic nie stoi na przeszkodzie.
str_npc9_intro_response_1|Chyba pomyliłeś mnie z szynkarzem, panie.
str_npc10_intro_response_1|Dlaczego tak mówisz, panie?
str_npc11_intro_response_1|A cóż to za okazja?
str_npc12_intro_response_1|A to dlaczego?
str_npc13_intro_response_1|Hm... Nie wydaje mi się.
str_npc14_intro_response_1|Aby zabić czas rozmawiając z innym podróżnikiem, jeśli można.
str_npc15_intro_response_1|Tak. Jeśli można spytać, dlaczego cię to interesuje?
str_npc16_intro_response_1|Możliwe. To jak brzmi twoja historia?
str_npc1_intro_response_2|Cofnij się panie i trzymaj ręce z dala od mojej sakiewki.
str_npc2_intro_response_2|Mam lepsze rzeczy do roboty.
str_npc3_intro_response_2|Ruszaj dziewko. Mam pracę do zrobienia.
str_npc4_intro_response_2|Hę? Nie, dzięki, nie chcemy.
str_npc5_intro_response_2|Nie mam na to czasu.
str_npc6_intro_response_2|Bez wątpienia. Cóż, powodzenia w szukaniu.
str_npc7_intro_response_2|No tak. Nie będę ci zawracać głowy.
str_npc8_intro_response_2|Absolutnie nic, od wyraźnej niechęci po dobry humor. Życzę ci dobrego dnia.
str_npc9_intro_response_2|Sam sobie przynieś!
str_npc10_intro_response_2|To słowa buntownika, nie zamierzam ich słuchać. Życzę ci dobrego dnia.
str_npc11_intro_response_2|Nie wydaje mi się, pani.
str_npc12_intro_response_2|Przepraszam. Obawiam się, że nie dysponuję teraz czasem.
str_npc13_intro_response_2|Nie. Nie mogę także powiedzieć, by zależało mi na tej znajomości.
str_npc14_intro_response_2|Zupełnie nic. Przepraszam.
str_npc15_intro_response_2|Proszę, abyś zajął się swoimi sprawami, panie.
str_npc16_intro_response_2|Nie wtrącaj się, dziewko.
str_npc1_backstory_a|Cóż, {panie/pani}, to całkiem długa historia...
str_npc2_backstory_a|To tragiczna opowieść, {panie/pani}.
str_npc3_backstory_a|Dobre pytanie, odpowiem ci!
str_npc4_backstory_a|Naprawdę? Cóż, może zatem można wybaczyć ci ignorancję. Krainy naszych przodków są daleko stąd, za górami.
str_npc5_backstory_a|Jestem Baheshtur, syn Azabei, wnuk Badzana. Gdyby nie to, że jesteś cudzoziem{cem/ką}, to pewnie byłoby ci wiadomo, że jestem Khergickim Srokatym Koniem z gór, z plemienia Shamir, z klanu Dulam, z rodziny Ubayn, z doliny Pantash i pewnie wtedy byłoby dla ciebie jasne, dlaczego jestem tak daleko od domu.
str_npc6_backstory_a|Popełniłem największy z grzechów, {panie/pani}, i choć mi wstyd, że robię sobie z ciebie spowiednika, jednak mam nadzieję, że zechcesz mnie wysłuchać.
str_npc7_backstory_a|Szczęście? Tak można powiedzieć.
str_npc8_backstory_a|Ach. Cóż, jeśli musisz wiedzieć, to ci powiem.
str_npc9_backstory_a|Najserdeczniej przepraszam. W tym całym zgiełku czasami trudno jest rozpoznać porządnych ludzi. Wciąż nie wierzę, że muszę żyć w takim miejscu.
str_npc10_backstory_a|To długa opowieść, ale jeśli weźmiesz sobie coś do picia, chętnie ją opowiem.
str_npc11_backstory_a|Cóż, udało mi się sprzedać mój wóz i garnki, {chłopcze/dziewko}. W ten sposób zdobyłam pieniądze i zamierzam dobrze je wydać.
str_npc12_backstory_a|Powiem ci - ale wiedz, że jest to opowieść o wielkiej niegodziwości. Z góry cię ostrzegam, jeśli masz temperament cholery{ka/czki}, iż może rozdrażnić cię niesprawiedliwość, która mnie spotkała.
str_npc13_backstory_a|Nie? To może usłyszysz o moim wierzchowcu, który tnie poprzez równiny Calradii niczym promień księżyca? Albo o moim mieczu, koneserze krwi najwyżej urodzonych książąt tej krainy?
str_npc14_backstory_a|Dobrze. Niech będzie. Na imię mi Lezalit.
str_npc15_backstory_a|Jestem inżynierem wyspecjalizowanym w sztuce fortyfikacji. Jeśli trzeba gdzieś powalić mur, mogę się tym zająć, o ile będę miał dość czasu. Jeśli trzeba gdzieś postawić mur, to mogę również to zrobić, choć potrwa to dłużej i będzie kosztować więcej. Nie można niestety obniżyć kosztów, chyba że chcesz, żeby twoja nowa kwatera była pod ziemią.
str_npc16_backstory_a|Cóż, {panie/pani}, jak sięgam pamięcią, mam słabość do pięknych rzeczy i to jak widać wpędziło mnie w kłopoty.
str_npc1_backstory_b|Zaszło małe nieporozumienie {s19} w miejscowości {s20}, dotyczące konia, jakiego znalazłem przywiązanego przy gospodzie. Było to zwierzę, które kilka dni wcześniej mnie staranowało i uciekło. Oczywiście odwiązałem go, żeby lepiej się przyjrzeć. Jak się okazało, koń należał do kupca, starego kozła, któremu nie dało się wytłumaczyć całej tej sytuacji i który natychmiast pobiegł po straże.
str_npc2_backstory_b|Jakiś czas temu opuściłem Geroię z karawaną pełną towarów. Miałem nadzieję sprzedać je w Sargoth i zarobić niezłą sumkę. Ale wyobraź sobie... zaatakowała nas banda khergickich bandytów, którzy odjechali z większością koni i towarów. Dwa dni później strażnicy mojej własnej karawany uciekli z resztą tego, co zostało.
str_npc3_backstory_b|Mój ojciec, znany {s19} w mieście {s20} kupiec, zadecydował, że powinnam wyjść za jednego z jego partnerów w interesach, człowieka po trzydziestce. Przez całe życie byłam posłuszną córką, ale to była żałosna i straszna propozycja. Uciekłam więc!
str_npc4_backstory_b|Jak wszyscy mężczyźni w mojej rodzinie, udałem się na obce ziemie, aby zdobyć doświadczenie w uzbrojeniu przed powrotem do domu. Niestety władze tych ziem nie rozumiały kodeksu wojownika, nazwały mnie bandytą i wyznaczyły nagrodę za moją głowę - najgorsze, co można zrobić prawemu łowcy przygód, na pewno się ze mną zgodzisz.
str_npc5_backstory_b|Jak sięgnąć pamięcią, nasi ludzie byli w konflikcie z plemieniem Humyan, którego większość osiedliła się w sąsiedniej dolinie. Zginęło wielu ludzi po obu stronach tego konfliktu, w tym dwaj moi bracia. Sam Chan nakazał nam przerwać waśni, aby nie tracić ludzi, którzy mogą się przydać w wojnach prowadzonych w Calradii. Znam jednak moje prawa i krew braci woła o zemstę. Zaskoczyłem i zabiłem jednego z Humyanów na ścieżce w górach i tej samej nocy opuściłem wioskę, nie mając nawet szansy na pożegnanie z ojcem. Przesiedzę w Calradii rok czy dwa, po czym wrócę do domu, kiedy ludzie Chana zapomną już o całym zajściu. Humyan nie zapomną oczywiście, ale taka jest cena honoru.
str_npc6_backstory_b|Byłem kapitanem konnicy w służbie u lorda {s19} w miejscowości {s20}, a mój brat służył ze mną. Obaj zakochaliśmy się w tej samej kobiecie - kurtyzanie, kusicielce, która bawiła się naszą zazdrością! Pokłóciłem się z bratem. Wypiłem za dużo. On rzucił we mnie rękawicą, a ja nabiłem go na miecz... Mój własny brat! Moja ręka została splamiona krwią najbliższego krewnego!
str_npc7_backstory_b|Miałam pecha, że mój własny ojciec wydał mnie za mąż za pijanego lenia, który mnie bił. Miałam pecha, że uciekając od niego schwytała mnie grupa bandytów. Miałam pecha, że jedyny spośród nich, który był dla mnie miły, nauczył mnie polować i walczyć. Wywołał tym zazdrość u innych i zakłuli go nożem, a mnie zmusili do ponownej ucieczki.
str_npc8_backstory_b|Pochodzę z rodziny z północnych krain. Jako córka szlachcica zostałam żoną jednego z mojego stanu. Walczyłam po stronie męża zarówno podczas wojny, jak i pokoju. Niestety mój mąż zmarł na zarazę, kiedy nie mieliśmy jeszcze dzieci. Zgodnie z jego ostatnią wolą miałam odziedziczyć ziemie, jeśli nie będzie miał następcy. Mój szwagier, niech piekło go pochłonie, powiedział, że w naszej tradycji nie leży dziedziczenie przez kobiety. To był nonsens, ale jego złoto kupiło lojalność wystarczająco wielu niewiernych sług mojego męża. Tym samym szwagier znalazł się w moich ścianach. Uciekłam więc, zrobiłam coś wbrew mojemu wychowaniu, coś, czego mam nadzieję, nigdy już nie zrobię.
str_npc9_backstory_b|Byłem pierwszym synem mojego ojca, co czyniło mnie jego następcą. Moja matka zmarła jednak, a ojciec ożenił się ponownie. Jego nowa żona uważała, że to jej syn powinien być dziedzicem. Nie mogła otwarcie wystąpić przeciwko mnie. Pewnego dnia dałem psu przeznaczone dla mnie jedzenie i zwierzę zdechło. Oskarżyłem macochę, ale mój ojciec, opętany jej urokami, nie uwierzył mi i kazał zejść z oczu.
str_npc10_backstory_b|Byłem sierżantem w garnizonie {s19} w miejscowości {s20}. Przez dwadzieścia lat, nie raz dostając po głowie, stałem na straży w mieście. Tak było do czasu pewnego pyskatego księcia, jeszcze z mlekiem pod nosem, który został dowódcą garnizonu. Przyszedł do mnie na wartę na wieży, kiedy nie miałem naciągniętej kuszy - chodziło o deszcz... Źle wpływa na cięciwy... Ale mały książę pyskacz powiedział mi, że jest to naruszenie regulaminu. Powiedział, że każe mnie wychłostać. Coś we mnie wówczas pękło. Opuściłem stanowisko.
str_npc11_backstory_b|Przez 30 lat podążałam za różnymi armiami, sprzedając im wiktuały i napoje, obserwując ich gry w karty oraz podrywanie dziewczyn. Pod koniec dnia moja sakiewka zawsze świeciła pustkami.
str_npc12_backstory_b|Jestem szkolonym filozofem, lecz przez jajogłowych doktorów z mojego uniwersytetu zostałem zmuszony do prowadzenia zawodu objazdowego chirurga. Wynajął mnie kupiec z tego miasta do wyleczenia jego syna, który zapadł w śpiączkę po upadku z balkonu. Dokonałem pomyślnej trepanacji czaszki pacjenta, aby zredukować opuchliznę, ale rodzina zignorowała moją poradę polegającą na leczeniu gorączki nalewką z wierzbowej kory i chłopak zmarł. Ojciec, zamiast wynagrodzić moje wysiłki, oskarżył mnie o używanie magii - mnie, urodzonego filozofa! Tak wygląda ignorancja i niewdzięczność ludzkości.
str_npc13_backstory_b|Jestem zawodowym wojownikiem. Ale jestem również doskonałym poetą, który potrafi sprawić, że najbardziej oziębłe dziewice mdleją. Muszę przyznać, że świetnie radzę sobie również w sypialni. Wielbię również Calradię i przez kilka ostatnich lat odwiedzałem miasta, zamki i wioski, jak najlepiej wykorzystując swoje talenty.
str_npc14_backstory_b|Jestem drugim synem hrabiego Geroii, którą z pewnością dobrze znasz. Nie mając niczego, co mógłbym odziedziczyć, wyruszyłem w poszukiwaniu szczęścia w Calradii, szkoląc mężczyzn w sztuce walki. Niestety, lord z miejscowości {s20} nie mógł zrozumieć dyscyplinarnych metod, niezbędnych do zmiany hołoty w żołnierzy. Powiedziałem mu, że lepiej wychłostać ich teraz, niż później pogrzebać. On nie słuchał jednak i kazał mi się wynosić.
str_npc15_backstory_b|Kasztelan {s19} w mejscowości {s20} chciał, aby przy murze stanęła nowa wieża. Problem w tym, że w połowie budowy, zanim skończyłem stawianie podpór, skończyły mu się pieniądze. Powiedziałem mu, że wieża się zawali i tak też się stało. Niestety, w tejże chwili stał on właśnie na wieży. Nowy kasztelan nie poczuwał się do uregulowania długów poprzednika i powiedział, że jeśli będę naciskał, to mogę zostać oskarżony o morderstwo.
str_npc16_backstory_b|Wychowałam się w zamku Malayurg jako służąca, pracując wraz z matką w kuchni. Dobrze się bawiłam, polując na myszy w spiżarniach i zmywalniach. Byłam w tym tak dobra, że zamkowe koty nie miały nic do roboty. W końcu lord uznał, że można mnie zatrudnić do polowania na większą zwierzynę podczas wypraw, które wolałabym przemilczeć. Tak się ułożyło, że miałam mnóstwo okazji do zdobycia różnych błyskotek, które wcześniej należały do wrogów mojego pana. Dzięki temu, udało mi się  wykupić ze służby i znalazłam pracę jako wolny agent. Właśnie skończyłam swoją zamianę {s19} w miejscowości {s20}.
str_npc1_backstory_c|Gdyby była ze mną większa grupa, która mogłaby za mnie poręczyć, być może by się to udało załatwić. Byłbym bardzo wdzięczny.
str_npc2_backstory_c|No i jestem tutaj, bez pieniędzy i bez szans na powrót do domu.
str_npc3_backstory_c|Wyjdę za tego, kogo chcę i kiedy chcę. Co więcej, niezależnie od tego, co może myśleć mój ojciec, potrafię doskonale o siebie zadbać. Kto wie, może dobrze byłoby dołączyć do grupy cyganów lub oddziału najemników!
str_npc4_backstory_c|Robię jednak wszystko, by unikać dalszych kłopotów, więc jeśli znasz jakąkolwiek kompanię, do której mogę się nadawać, to byłoby naprawdę wspaniale.
str_npc5_backstory_c|Wszelkie okazje zarobienia na życie za pomocą miecza byłyby w międzyczasie mile widziane.
str_npc6_backstory_c|Sądzisz, że jest nadzieja dla kogoś takiego jak ja? Czy mogę odnaleźć drogę do prawości, czy pozostaje mi tylko podążać za demonami, które we mnie mieszkają?
str_npc7_backstory_c|Nie uważam się jednak za nieszczęśliwą, nie bardziej, niż którakolwiek kobieta w tej cuchnącej dziurze zwanej Calradią... stertą łajna wśród narodów, którą zamieszkują małpy i szakale.
str_npc8_backstory_c|Kiedy zdobędę dosyć złota, aby powołać armię, wrócę i odbiorę to, co należy do mnie.
str_npc9_backstory_c|Mam nadzieję zaoferować miecz jakiemuś przyzwoitemu kapitanowi, ponieważ jest to jedyna honorowa profesja dla kogoś takiego jak ja. Cóż, oczywiście oprócz posiadania ziemi, ale póki co jestem skazany na spanie pośród złodziei, włóczęgów, kupców i innej hołoty.
str_npc10_backstory_c|A teraz mam ochotę tak się spić, żeby nie myśleć o tym, co mnie jutro może spotkać.
str_npc11_backstory_c|Co to za życie, dbać o wyżywienie armii. Zarabiasz to tu, to tam, kiedy żołnierze wydają swój żołd, a potem dochodzi do przegranej bitwy i zaczynasz wszystko od nowa, zadłużając się na zakup nowego wozu i byków. Postanowiłam więc zamknąć interes, choć wojskowe życie to jedyne, jakie poznałam.
str_npc12_backstory_c|Pan tego zamku obiecał, że nie aresztuje mnie, za to, co się wydarzyło. Jednak ja i tak wolałbym winieść się stąd jak najdalej.
