str_no_string|NINCS SZÖVEG!
str_npc12_intro|Üdv, jó utazó! Te talán tudnál nekem segíteni.
str_npc13_intro|Légy üdvözölve, utazó! Nevem Nizar. Minden bizonnyal hallottál már rólam.
str_npc14_intro|Igen? Mit akar?
str_npc15_intro|Oh! Mondd csak, barátom, véletlenül nem készülsz elhagyni e várost mostanság?
str_npc16_intro|Üdv! A ruházata alapján fogadni mernék, hogy hamarosan harcba indul. Egészen véletlenül nincs szüksége némi segítségre?
str_npc1_intro_response_1|Talán. Mi olyan sürgős?
str_npc2_intro_response_1|Az utolsó öt dénárod? Mi történt veled?
str_npc3_intro_response_1|Üdv. Mit keres egy finom, ifjú úrihölgy egy ilyen helyen?
str_npc4_intro_response_1|Hmm... Sosem hallottam eddig a Rolfokról.
str_npc5_intro_response_1|Örömmel. Kihez van szerencsém, ha megkérdezhetem?
str_npc6_intro_response_1|Mire ez a kétségbeesés, barátom?
str_npc7_intro_response_1|Elnézést. Csak azt akartam mondani, olyannak tűnsz, mint akit elhagyott a szerencséje.
str_npc8_intro_response_1|Csak pár szót váltani valakivel, asszonyom, hacsak nincs más társasága.
str_npc9_intro_response_1|Bizonyára összetéveszt a fogadóssal, uram.
str_npc10_intro_response_1|Miért mondod ezt, jó uram?
str_npc11_intro_response_1|Mit ünneplünk?
str_npc12_intro_response_1|Miben?
str_npc13_intro_response_1|Ööö... Attól félek, nem.
str_npc14_intro_response_1|Csak pár szót váltani egy másik utazóval, ha nem bánja.
str_npc15_intro_response_1|De igen. És mi közöd van hozzá, ha megkérdezhetem?
str_npc16_intro_response_1|Talán. Mesélj magadról!
str_npc1_intro_response_2|Lépj hátra, uram, s el a kezekkel az pénzes zacskómtól!
str_npc2_intro_response_2|Jobb dolgom is van.
str_npc3_intro_response_2|Tűnj el, kislány, dolgom van!
str_npc4_intro_response_2|Mi? Nem, kösz, semmit nem veszünk.
str_npc5_intro_response_2|Nem érek rá.
str_npc6_intro_response_2|Semmi kétség. Nos, sok sikert a további önmarcangoláshoz.
str_npc7_intro_response_2|Rendben. Akkor nem is zavarlak.
str_npc8_intro_response_2|Semmit, főleg olyantól, ki ellöki a baráti jobbot. Isten áldja, hölgyem.
str_npc9_intro_response_2|Tölts magadnak!
str_npc10_intro_response_2|Ez lázadó beszéd, hallani sem akarom! Minden jót!
str_npc11_intro_response_2|Inkább nem, asszonyom.
str_npc12_intro_response_2|Sajnálom, attól tartok, most nagyon elfoglalt vagyok.
str_npc13_intro_response_2|Nem, és nem is vágyom arra, hogy ezen változtassak.
str_npc14_intro_response_2|Az égvilágon semmit. Elnézést.
str_npc15_intro_response_2|Lekötelezne, ha a saját dolgával törődne, jó uram.
str_npc16_intro_response_2|Törődj a magad dolgával, kislány..
str_npc1_backstory_a|Nos, {uram/hölgyem}, az egy hosszú történet...
str_npc2_backstory_a|Tragikus történet ez, {uram/hölgyem}.
str_npc3_backstory_a|Jó kérdés, szívesen elmondom.
str_npc4_backstory_a|Valóban? Nos, tudatlanságod talán megbocsátható. Ősi földünk távol esik innen, a hegyeken túl.
str_npc5_backstory_a|Baheshtur vagyok, Azabei fia, Badzan unokája. Ha nem volnál barbár, minden bizonnyal tudnád a vérvonalamról, hogy felföldi aranyderes khergit vagyok a Shamir törzsből, a Dulam klánból, az Ubayn családból, a Pantash-völgyből, és arra is rájöhetnél, hogy miért vagyok ily távol hazámtól.
str_npc6_backstory_a|Elkövettem a legnagyobb bűnt, {uram/hölgyem}, és szégyenemre neked kell meggyónnom azt, ha meghallgatsz.
str_npc7_backstory_a|A szerencsém? Úgy is mondhatjuk...
str_npc8_backstory_a|Ah. Nos, ha tudni akarja, elmondhatom.
str_npc9_backstory_a|Alázatos bocsánatáért esedezem! Néha nehéz felismerni az embereket ebben a füstben és félhomályban, ami itt van. Még mindig nem hiszem el, hogy ilyen helyen kell laknom. 
str_npc10_backstory_a|Ez hosszú történet, de ha csatlakozol hozzám egy italra, örömmel elmesélem.
str_npc11_backstory_a|Nos, sikerült eladnom a szekerem és az edényeimet, {fiacskám/leányom}. Ez egyszer végre van pénzem, mit elkölthetek, s ki akarom használni a helyzetet.
str_npc12_backstory_a|Elmondhatom - de tudd meg, ez egy szörnyű méltánytalanság története. Előre figyelmeztetlek, nehogy haragodban - ha indulatos természetű vagy - az engem ért igazságtalanság hallatán kárt tégy magadban.
str_npc13_backstory_a|Nem-e? Akkor tán a paripámról, ki úgy suhan a calradiai puszták felett, mint a holdsugár? Vagy a kardomról, mely jól ismeri a birodalom legelőkelőbb hercegeinek vérét?
str_npc14_backstory_a|Nos, nem bánom. Lazalit vagyok.
str_npc15_backstory_a|Hadmérnök vagyok, az erődítmények szakterületén. Ha le akarsz rombolni egy falat, megteszem, ha adsz rá elég időt. Ha vissza akarsz építeni egy falat, azt is megteszem, több idő és fizetség fejében. És ha nem fizetsz, könnyen fejedre dőlhet új építményed, ahogy azt itt nemrég valaki megtapasztalta.
str_npc16_backstory_a|Nos, {uram/hölgyem}, mióta az eszemet tudom, a csinos dolgok mindig a gyengéim voltak, s ez sodort engem a bajba.
str_npc1_backstory_b|Némi félreértésbe keveredtem itt, {s20} városában egy lóval kapcsolatban, melyet egy fogadó előtt találtam kikötve. Kiköpött mása volt egy bestiának, mely pár nappal korábban ledobott magáról és elszökött. Én persze eloldoztam, hogy közelebbről megnézzem. Mint kiderült, a ló egy kereskedőé volt, egy rókaképű vén kecskéé, aki nem hitte el, hogy csak félreértésről van szó, és elrohant az őrökért.
str_npc2_backstory_b|Pár hete hagytam el Gerioát egy karavánnyi áruval. Úgy reméltem, Sargothban majd szép summáért eladom mind. Ám az úton kergith fosztogatók megtámadtak minket, s elvitték a lovaim és árum nagy részét. Mindennek tetejébe két nap múlva a saját karavánőreim megszöktek mindazzal, amim megmaradt.
str_npc3_backstory_b|Atyám egy közismert kereskedő itt, {s20} városában, s úgy döntött, feleségül ad egyik üzleti partneréhez, egy jóval harmincon túli férfiúhoz. Egész életemben engedelmes lánya voltam, de ez egy nevetséges és undorító ajánlat volt, így megszöktem.
str_npc4_backstory_b|Mint minden férfi a családomban, eljöttem idegen országba, hogy hírnévre tegyek szert a fegyverforgatás terén, mielőtt visszatérek, hogy átvegyem birtokaim felügyeletét. Sajnos ezen ország törvényei kissé félreértelmezik a harcosok kódexét, így közönséges banditának kiáltottak ki, s vérdíjat tűztek fejemre, mely - ebben biztosan egyetértesz velem - a legméltánytalanabb rágalom egy kalandozó nemesemberrel szemben. 
str_npc5_backstory_b|Népem emberemlékezet óta viszálykodik a Humyan törzzsel, kik közül sokan a szomszédos völgyben telepedtek le. A csaták során sokan elestek mindkét oldalon, köztük két bátyám is. A kán elrendelte, hogy ne hadakozzunk tovább, mert a végén nem marad harcosunk, kit a calradiai háborúkban bevethetünk. De én tudtam, mi a kötelességem, bátyáim vére bosszúért kiáltott. A hegyeken átvezető csapáson meglestem és megöltem egy humyant, és még azon az éjjelem elhagytam falvamat, még atyámtól sem volt alkalmam elbúcsúzni. Egy-két évig maradok Calradiában, aztán hazatérek, mikor a kán emberei elfeledik tettem. Persze a humyanok nem felejtenek, de ez a becsület ára.
str_npc6_backstory_b|{s20} város urának lovaskapitánya voltam, s a bátyám együtt szolgált velem. Ám mindketten ugyanabba a nőbe voltunk szerelmesek, egy csalárd kurtizánba, ki kijátszotta ellenünk féltékenységünket. Bátyám és én civakodtunk. Én túl sokat ittam. Ő arcul ütött a kesztyűjével, én pedig kardommal felnyársaltam őt. A saját bátyámat! A kardomon a saját vérem szárad!  
str_npc7_backstory_b|A balszerencsém az oka, hogy gyarló atya nemzett, ki aztán hozzáadott egy részeges senkiházihoz, aki vert engem. A balszerencsém az oka, hogy mikor elszöktem a férjemtől, elfogott egy rablóbanda. A balszerencsém az oka, hogy az egyetlent közülük, ki jó volt hozzám, ki megtanított vadászni és harcolni, a többiek féltékenységükben ledöfték, és nekem ismét menekülnöm kellett.
str_npc8_backstory_b|Északról származom, egy ősi családból. Egy főúr lánya vagyok, s felesége egy másiknak. A férjem oldalán harcoltam, társa voltam háborúban s békében. De elvitte őt a pestis, még mielőtt gyermekünk született volna. Férjem, örökös híján, rám hagyta birtokait. Ám a sógorom, átkozott legyen a neve, azt mondta: szokásaink nem engedik, hogy egy nő örököljön uradalmat. Badarság volt, de az aranya elég volt arra, hogy megvásárolja uram hitszegő szolgáinak hűségét, s befészkelje magát a házamba. Így hát elmenekültem, bár nem így neveltek, s remélem, soha többé nem is kell ilyet tennem.
str_npc9_backstory_b|Atyám első fia s örököse voltam. De anyám meghalt, s atyám újranősült. Az új felesége úgy vélte, az ő fiának kellene örökölnie. Nyíltan nem léphetett ellenem, de az egyik nap odaadtam egy nekem szánt tál faggyút az egyik kutyámnak, s ő kimúlt. A mostohaanyámat vádoltam, ám atyám, kit e boszorkány teljesen megigézett, nem hitt nekem, és megparancsolta, hogy tűnjek el a szeme elől.
str_npc10_backstory_b|Őrmester voltam itt, {s20} helyőrségében. Húsz évig álltam őrt a város védelmében, álltam az ütéseket sok kemény csatában, mígnem kineveztek egy taknyos, pelyhes állú, a bölcsőből épp hogy kimászott hercegecskét parancsnoknak fölénk. Egyszer rajtakapott, mikor a toronyban, őrségben, az íjam nem volt felajzva. De hát az eső volt az oka - nem tudtam az ideget megfeszíteni. Ám Taknyos Kis Herceg azt mondta, ez kötelességszegés. Kijelentette, hogy ezért megkorbácsoltat. És akkor valami megpattant bennem. Otthagytam a posztom.
str_npc11_backstory_b|Harminc évig követtem a seregeket ezen a vidéken, ételt s italt árulva, lányokat felhajtva nekik, figyelve, hogy kockáznak, s a végén jó, ha egy dénár maradt a pénzes zacskómban.
str_npc12_backstory_b|Tanult természettudós vagyok, de az egyetemem nehéz felfogású professzorainak féltékenysége arra kényszerített, hogy vándorfelcserként keressem kenyerem. E város egyik kereskedője felbérelt, hogy gyógyítsam meg a fiát, ki lezuhant az erkélyéről, s kómába esett. Sikeresen meglékeltem a páciens koponyáját, hogy lelohasszam az agyduzzanatot. Ám a családja nem fogadta meg tanácsom, hogy az ebből eredő lázat fűzfakéreg tinktúrával kezelje, s a fiú meghalt. Az apja, ahelyett hogy megjutalmazta volna erőfeszítéseimet, boszorkánysággal vádolt meg - engem, egy természettudóst! Lásd, ily tudatlan és háládatlan az emberi faj!
str_npc13_backstory_b|Foglalkozásomra nézvést harcos vagyok. De tán inkább hallottál rólam, mint mesteri költőről, kinek szavától a legridegebb szüzek is elolvadnak. Avagy jártasságomról a hálószobák tudományában, melyben, be kell valljam, némi készséggel bírok. Tanúsíthatom, némi hatással voltam Calradiára, s az elmúlt jó néhány évben, míg városait, várait és falvait jártam, legtöbb képességemet gyakoroltam.
str_npc14_backstory_b|Második fia vagyok Geroia grófjának, kiről bizonyára hallott már. Nem lévén örököse, eljöttem, hogy Calradiában próbáljak szerencsét, hadtudományra oktatva a népeket. Sajnos e város, {s20} urának nincs érzéke a fegyelmező módszerekhez, melyekkel a csőcselékből katonát lehet faragni. Magyaráztam neki, hogy jobb most megkorbácsolni őket, mint később eltemetni, de nem hallgatott rám - azt mondta, nincs rám szüksége.
str_npc15_backstory_b|Az itteni várnagy új tornyot akart építeni a falhoz. A baj ott volt, hogy az építés felénél kifogyott a pénzből, épp mielőtt befejezhettem volna az alátámasztást. Megmondtam neki, hogy össze fog dőlni - és lőn. Sajnos épp rajta állt, mikor megtörtént. Az új várnagy nem hajlott arra, hogy lerója elődje adósságát, sőt arra célozgatott, hogy könnyen gyilkosság vádja alatt találom magam, ha tovább erősködöm.
str_npc16_backstory_b|A Malayurg várban nőttem fel, röghöz kötött cselédként, anyámmal dolgoztam a konyhán. Szórakozásképp egereket kergettem a pincétől a kamrákig. Oly ügyes voltam benne, hogy a vár macskáinak felkopott az álla, és végül a várúr ráébredt, hogy nagyobb vadak levadászására alkalmazhatna, oly feladatokra, melyek természetéről jobb, ha nem beszélek. Mondanom se kell, sok lehetőségem adódott, hogy megajándékozzam magam uram korábbi ellenségeinek csecsebecséivel. Hamarost ki tudtam vásárolni magam, s már szabad emberként kereshettem munkát itt, {s20} városában.  
str_npc1_backstory_c|Szerencsére egy nagyobb csapattal voltam, akik kezeskedtek értem, így elengedtek. Nagyon hálás lennék neked.
str_npc2_backstory_c|Így hát most itt vagyok, pénzem sincs, hazamenni sem tudok.
str_npc3_backstory_c|Ahhoz megyek hozzá, akihez akarok, amikor akarom. Mi több, bármit is gondol atyám, tökéletesen tudok gondoskodni magamról. Úgy döntöttem, inkább csatlakozom egy cigánykaravánhoz vagy egy zsoldoscsapathoz!
str_npc4_backstory_c|De szeretném elkerülni a további bajokat, így ha ismernél olyan zsoldoscsapatot, ahová beállhatnék, nagyon hálás lennék, ha megosztanád velem.
str_npc5_backstory_c|Ez idő alatt bármely lehetőséget, mely alkalmat ad, hogy kardommal keressem meg a kenyerem, örömmel ragadok meg.
str_npc6_backstory_c|Gondolod, hogy van még remény egy ilyen ember számára? Megtalálom a becsület ösvényét, vagy a démonokat kell követnem, melyek lelkem marcangolják?
str_npc7_backstory_c|De nem tartom magamat szerencsétlennek, idegen, nem jobban, mint bármely más asszony itt Calradiában, e bűzlő mocsárban, a nemzetek trágyadombján, melyet majmok és sakálok laknak.
str_npc8_backstory_c|Ha elég aranyat gyűjtök össze, hogy saját sereget toborozzak, visszamegyek, és visszaszerzem, ami az enyém.
str_npc9_backstory_c|Azt remélem, felajánlhatom a kardom egy arra méltó kapitánynak, mivel ez az egyetlen becsületes foglalkozás egy magamfajta embernek a földbirtokláson kívül, ám nem kívántam tolvajok, csavargók, kereskedők, s az utak más söpredéke között álomra hajtani fejem.
str_npc10_backstory_c|Most itt vagyok, iszom nyakló nélkül, s holnap majd az ördöggel parolázom.
str_npc11_backstory_c|A seregek ellátása keserű kenyér. Keresel itt-ott pár dénárt, mikor a katonák költekeznek, aztán jön egy vereség, és kezdhetsz mindent elölről, vehetsz új szekeret és ökröt, adósságba verve magad. Így aztán úgy döntöttem, kiszállok az üzletből, de semmi máshoz nem értek, mint a katonai élethez.
str_npc12_backstory_c|E vár ura vonakodik letartóztatni engem, de nagyon szeretnék továbbállni innen.
str_npc13_backstory_c|Erről jut eszembe - valahol a városban egy eléggé haragvó férj les rám. Bátorkodom reménykedni abban, hogy tán segítenél nekem kijutni a városból.
str_npc14_backstory_c|Tehát, ha ismer egy parancsnokot, kinek fontosabb, hogy megnyerje a csatákat, mintsem a katonáit babusgassa, örömmel venném, ha útba igazítanál hozzá.
str_npc15_backstory_c|Sokan rászedtek azzal, hogy előleg nélkül kötöttem velük szerződést, s mi lett a vége? Itt állok, nehéz helyzetben: az út tele banditával, s nincs pénzem kíséretet fogadni. Így aztán nagyon hálás lennék, ha egy jól felfegyverzett sereg, ki a napokban kél útra, magával vinne.
